ONS code,Area,Q4-1995,Q1-1996,Q2-1996,Q3-1996,Q4-1996,Q1-1997,Q2-1997,Q3-1997,Q4-1997,Q1-1998,Q2-1998,Q3-1998,Q4-1998,Q1-1999,Q2-1999,Q3-1999,Q4-1999,Q1-2000,Q2-2000,Q3-2000,Q4-2000,Q1-2001,Q2-2001,Q3-2001,Q4-2001,Q1-2002,Q2-2002,Q3-2002,Q4-2002,Q1-2003,Q2-2003,Q3-2003,Q4-2003,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015
E06000031,Peterborough,40500,40000,40000,40000,41000,41500,42000,43000,43500,44000,44000,45000,45000,45500,46000,46995,48000,48500,49995,50500,52500,53250,56000,58500,60000,64000,67500,72000,76995,79995,83998,88000,93000,96000,101000,109995,115000,116000,118625,119950,119500,120000,123000,125000,129995,130500,134000,135798,137000,138000,137995,135000,131000,130000,125000,125000,125250,125000,125000,127000,125000,127500,128000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,129250,132750,135100,138000,140000,143500,145000,148000
E07000008,Cambridge,69500,69950,70000,72000,72500,73000,75000,78500,82500,85500,88000,90000,92500,94000,96500,99950,101000,106000,110000,118000,125000,126000,130000,136000,140000,147000,153500,160000,168000,175000,180000,181500,185000,186000,187000,190000,195000,195000,201250,206000,210000,214000,218000,220000,227500,235500,243000,249950,250000,250000,250000,249950,244000,240000,232500,230000,230000,240000,249000,250000,265000,258998,262750,258000,262000,263000,265500,270000,275000,283000,283975,290000,295000,295000,304075,315000,327350,337000,350000,370000,380000
E07000009,East Cambridgeshire,56500,56500,57000,57000,57500,58000,58500,59000,60000,62000,65975,68000,69950,72000,74000,75000,76500,79000,81000,85000,89950,89995,92750,96250,99305,104950,112000,118500,124000,128975,135000,138500,142950,147500,151000,157000,160000,162000,165000,168500,169995,168975,169973,170000,174950,179950,182950,185875,188000,190000,193679,190500,183000,177000,170000,168000,170000,175000,181000,184975,187375,183000,185000,184950,186000,184950,184950,186000,188000,193000,189950,196011,195750,197000,200000,204050,215000,220000,226000,229950,240000
E07000010,Fenland,40000,40000,40000,40000,40000,40000,41500,43000,44250,44950,45000,46500,46250,46000,46500,47000,49000,51000,53500,55000,56500,57000,59000,60000,64000,67000,71500,78000,83000,85500,90000,94000,100000,107500,112500,117000,119950,121250,125250,127000,126000,127000,126500,130000,132000,133500,134500,135000,138500,140000,142000,140000,135000,132000,126000,125000,129000,129995,130000,132000,130000,130000,129000,130000,130000,132000,130000,128500,126250,125000,125000,127000,130000,135000,137000,139995,140000,141000,145000,147500,150000
E07000011,Huntingdonshire,54000,54000,54000,54625,54875,55000,56000,57000,58000,59200,59995,60000,60000,62000,64000,67000,69000,70000,73500,75750,79950,82000,84250,86000,89375,91500,95995,106000,112500,116000,122000,128000,132000,135000,140000,146500,150000,153000,155000,156000,159995,160000,161500,166000,168000,170000,174995,175500,178000,183000,180000,180000,176500,172000,170000,167750,168000,170000,174000,175000,180000,177500,175000,172500,170000,168000,170000,174995,175000,180000,179000,177000,178000,179995,184500,190000,195000,198000,200000,210000,215000
E07000012,South Cambridgeshire,69950,70000,70000,73125,74000,74000,75500,77500,79950,82500,85000,88000,90000,92500,95000,98000,99950,102000,105000,110500,119500,122000,126000,131500,135000,139972,144950,152000,159000,163500,169500,175000,176975,180000,185000,187000,192000,195000,196000,200000,202500,205000,207750,215000,215000,220000,227250,235000,240000,245000,246000,246250,239998,225000,215000,212500,218000,225000,227500,233500,235000,235000,237500,235000,240500,239950,240000,242000,242750,249500,249950,250000,250000,250000,250000,259875,266500,275000,284000,300000,315000
E07000201,Forest Heath,49000,49000,48000,47975,48000,49000,50000,52500,53000,53000,54000,53998,56000,57250,59950,60000,60000,62000,64500,66000,70000,72000,74500,77500,80000,83795,88000,93873,98000,105000,111000,117000,120000,123000,127500,131998,136500,138000,140000,138000,139000,138750,139973,143000,145000,149000,152500,157000,160000,165000,165000,164000,158000,150500,140000,135000,137500,138750,142500,147500,149000,147500,148000,146950,144000,145000,145000,149725,150000,150000,150000,149999,150000,151000,155000,160000,164950,168500,170000,175000,179500
E07000204,St Edmundsbury,53500,53500,53625,54000,54995,55000,56625,57000,58000,58000,59999,62973,63250,65000,65000,66500,69973,71000,74500,78500,79995,82000,84000,87500,90875,96000,104500,110000,115000,119500,125623,130000,135000,140000,144000,152250,158250,160000,163000,164000,162000,162500,164995,170000,174000,176000,179725,180000,185000,187000,189995,187500,180000,175000,172000,170000,170000,173000,175000,178000,183000,183000,181750,183000,180200,176000,179000,179950,180000,186000,186000,186000,190000,192500,196000,208000,215000,215000,225000,227748,231000
