ONS code,Area,Q4-1995,Q1-1996,Q2-1996,Q3-1996,Q4-1996,Q1-1997,Q2-1997,Q3-1997,Q4-1997,Q1-1998,Q2-1998,Q3-1998,Q4-1998,Q1-1999,Q2-1999,Q3-1999,Q4-1999,Q1-2000,Q2-2000,Q3-2000,Q4-2000,Q1-2001,Q2-2001,Q3-2001,Q4-2001,Q1-2002,Q2-2002,Q3-2002,Q4-2002,Q1-2003,Q2-2003,Q3-2003,Q4-2003,Q1-2004,Q2-2004,Q3-2004,Q4-2004,Q1-2005,Q2-2005,Q3-2005,Q4-2005,Q1-2006,Q2-2006,Q3-2006,Q4-2006,Q1-2007,Q2-2007,Q3-2007,Q4-2007,Q1-2008,Q2-2008,Q3-2008,Q4-2008,Q1-2009,Q2-2009,Q3-2009,Q4-2009,Q1-2010,Q2-2010,Q3-2010,Q4-2010,Q1-2011,Q2-2011,Q3-2011,Q4-2011,Q1-2012,Q2-2012,Q3-2012,Q4-2012,Q1-2013,Q2-2013,Q3-2013,Q4-2013,Q1-2014,Q2-2014,Q3-2014,Q4-2014,Q1-2015,Q2-2015,Q3-2015,Q4-2015
E06000031,Peterborough,50995,50000,53973,55375,59995,66248,68995,70995,71950,72995,77973,78750,78995,78995,83950,87450,90995,93727,94995,95995,101975,104995,105400,107250,107500,113000,129973,131995,135725,137500,136995,139998,154995,159995,169000,174000,175995,176000,175998,175995,170000,170000,169998,165995,163495,161496,164000,167995,180000,183048,193950,193000,180000,178000,166000,164000,165000,165350,171000,175000,174500,179873,170000,170000,167495,164995,167995,167495,173000,178000,178500,180000,175000,173000,170000,170995,175000,179995,181998,177498,179995
E07000008,Cambridge,87500,90000,93525,92500,94977,92950,99995,115000,125204,150000,147000,140750,138000,130000,145000,165500,139975,117100,121500,121500,126000,138000,138000,195000,136332,134995,169995,170223,200000,221300,200000,194998,199973,204998,249995,276995,289995,285000,275500,277500,275000,275000,235401,230326,229165,230602,250000,249375,255289,262000,261625,245000,181250,165119,153000,209975,249999,250000,250000,250000,250000,250000,250000,250000,282495,282500,300000,304000,281650,285000,310000,315000,340000,350250,362500,406000,419975,430000,445000,469950,499950
E07000009,East Cambridgeshire,69950,69950,68000,65500,64500,65500,66973,70000,72500,73000,75738,79325,85723,88995,91250,94000,95000,106995,115000,117000,120000,120500,119950,123000,125000,131000,144250,155000,165000,167575,168075,168196,169995,174449,175000,189995,193250,199995,200000,199950,197975,189475,184973,184999,181000,187750,187450,189995,192250,185900,186700,186950,193700,200000,200000,185150,184748,184998,184998,195000,199475,194498,189495,182125,182000,180000,179500,179500,177248,182500,182500,185000,190000,190000,215000,217498,209975,219995,219995,235000,237475
E07000010,Fenland,46750,47950,47950,47950,47950,47950,52000,54950,54950,54950,54950,55500,56950,59500,59950,59950,64000,63975,65950,67950,69950,69950,74950,74950,83250,87498,97500,104998,109950,110000,117000,128498,130000,139000,139000,139000,139950,139950,139000,142000,140000,142995,135000,134950,136000,135000,140000,142000,142000,148000,149000,149000,142000,135000,132500,125000,124250,125000,125000,135500,135000,138000,145000,142000,145000,142000,139995,139973,139475,139000,135000,142495,144000,143000,147998,143000,149995,149995,153998,157250,152500
E07000011,Huntingdonshire,82500,83000,84500,83000,84973,86000,87998,89995,90000,92995,99950,105000,116000,119500,128995,132000,130000,128995,124725,119950,119995,120000,122995,124850,125950,127500,132973,139950,146498,150250,158000,165000,175000,183248,183500,189950,185995,189950,195000,199950,202995,191995,194000,189995,194375,208498,206998,210000,209498,210000,199995,188298,176600,169973,160250,160000,164975,169950,177625,180000,190000,189995,189500,188750,189995,190000,194995,200000,206475,212000,219998,224995,222995,225000,222000,210000,217475,204995,200000,203995,197000
E07000012,South Cambridgeshire,110000,109950,105000,107500,107725,108000,106000,108000,111000,111000,113950,114950,115250,117750,123475,125950,131248,136950,139950,141760,147998,149000,154950,166120,176000,185000,189950,189950,189995,189950,184950,186000,185000,184300,192000,196975,205640,208995,214695,219995,227995,229995,226995,218500,235000,239950,245000,248000,249995,249995,249950,245000,222500,210000,195000,195000,197500,199000,210500,214950,219950,224950,231250,245000,249475,250000,249475,249475,233475,234950,232248,229995,238473,242995,250000,269995,269995,273973,287950,314973,345000
E07000201,Forest Heath,63500,67000,71250,69000,67475,66700,65950,66950,67950,68075,70000,70950,76250,78754,88919,92475,95000,99250,97750,100350,111850,115175,114150,115950,124225,125450,145000,153725,163000,155500,119950,118475,118238,126675,154995,164340,166060,166995,182500,166500,170000,167500,162500,169998,177500,182500,197995,193750,201995,201998,206498,215998,194998,198500,180000,174995,171526,173975,170250,174998,179950,177500,172000,171000,172000,174995,181500,177650,177600,178000,176000,179500,175000,153500,149995,149950,149473,195995,199995,196495,195995
E07000204,St Edmundsbury,59500,59995,59950,59995,59995,59998,66248,69413,72500,76000,82000,82725,84500,84950,84000,88000,94950,99995,99995,108500,109000,107950,114950,114973,116995,125995,133998,140000,155000,162748,173995,161000,163450,161495,158950,161495,163498,168498,185000,189950,176223,174973,174995,177473,189995,204995,205226,199998,200750,188000,149000,147950,145173,146802,159950,157725,152500,152500,153500,149950,135000,135000,135000,159950,198000,207998,201110,195395,195198,196000,199995,199995,200500,205000,227498,217225,219995,234995,239995,249973,262995
